no_mec,IDCARD_intersection,IDCARD_all,IDCARD_pct
10014136879,48202,65855,0.7319413863791664
10014144432,2242572,4095762,0.5475347444504832
10014173172,334654,536582,0.6236772757938209
10014199662,91769,121710,0.7539972064744064
10014202877,18888,21018,0.898658292891807
10014227259,108017,119537,0.9036281653379289
10014323811,354440,416636,0.8507186128899087
10014358888,312304,428151,0.7294248991594087
10014485098,1676,10229,0.16384788346856977
10014499846,137,158,0.8670886075949367
10014536627,1,1,1.0
10014616858,128221,283377,0.4524749715043917
10014620129,60543,85602,0.7072615125814817
10014655891,53991,62106,0.8693362960100474
10014693748,18757,20102,0.9330912347030146
10014700926,374200,413396,0.9051853428673717
10014725051,35835,42515,0.8428789838880395
10014732732,17547,20802,0.8435246610902798
10014745825,60517,66616,0.9084454185180737
10014758227,6011,35635,0.16868247509471027
10014758749,2044,5740,0.35609756097560974
10014758853,394574,472141,0.8357122130888865
10014787223,37,131,0.2824427480916031
10014789504,49889,54400,0.917077205882353
10014793114,155542,165558,0.9395015644064316
10014804668,616862,672813,0.9168401918512276
10014804708,587814,654129,0.8986209142233412
10014809503,6200,44252,0.1401066618457923
10014850600,277299,287871,0.9632752170242921
10014854591,70647,74319,0.9505913696362975
10014855246,116411,143599,0.8106672052033789
10014880928,10155,10963,0.9262975462920734
10014905156,277057,312414,0.8868264546403171
10014910226,1,1,1.0
10014961761,48288,55911,0.8636583141063476
10014971429,122,404,0.30198019801980197
10015002061,562,568,0.9894366197183099
10015007777,4311,15719,0.27425408741014057
10015023091,10068,10592,0.9505287009063444
10015042435,3,5,0.6
10015071983,82166,88868,0.9245847774226943
10015078231,70,284,0.24647887323943662
10015089427,28287,73198,0.38644498483565126
10015103354,38995,39877,0.9778819871103643
10015116321,6,9,0.6666666666666666
10015117411,54988,74367,0.7394139873868786
10015133531,4971,5395,0.9214087117701576
10015139460,303507,439034,0.6913063680717211
10015147303,804,2178,0.3691460055096419
10015179366,2,159,0.012578616352201259
10015185541,1,1,1.0
10015191453,10815,19561,0.5528858442819897
10015205935,20350,80579,0.25254718971444173
10015307974,109130,119683,0.9118254054460533
10015375255,3,8,0.375
10015390594,6189,6813,0.9084103918978423
10015391275,4030,8927,0.4514394533437885
