no_mec,month,flag_overdue,IDCARD,fpd
10013922543,2018-05,532,625,0.8512
10013922543,2018-06,3317,3483,0.9523399368360609
10013922543,2018-07,10991,11377,0.9660718994462512
10013922543,2018-08,5270,5559,0.9480122324159022
10013922543,2018-09,208,218,0.9541284403669725
10013964842,2018-01,345,473,0.7293868921775899
10013964842,2018-02,834,2899,0.28768540876164195
10013964842,2018-03,66,358,0.18435754189944134
10013964842,2018-04,9,14,0.6428571428571429
10013964842,2018-05,18,25,0.72
10013964842,2018-06,6,9,0.6666666666666666
10013964842,2018-07,21,28,0.75
10013964842,2018-08,1708,2667,0.6404199475065617
10013964842,2018-09,25292,45523,0.5555872855479648
10014048472,2018-01,86964,103766,0.8380779831544051
10014048472,2018-02,10683,14799,0.7218730995337522
10014048472,2018-03,5184,7682,0.6748242645144493
10014048472,2018-04,7477,9595,0.7792600312662845
10014048472,2018-05,7589,10088,0.7522799365582871
10014048472,2018-06,3401,5008,0.6791134185303515
10014048472,2018-07,770,1877,0.41022908897176347
10014048472,2018-08,772,1776,0.4346846846846847
10014048472,2018-09,1610,2872,0.5605849582172702
10014130505,2018-01,9,62,0.14516129032258066
10014136879,2018-01,17126,36312,0.47163472130425205
10014136879,2018-02,151,2277,0.0663153271848924
10014136879,2018-03,110,2710,0.04059040590405904
10014136879,2018-04,357,2404,0.14850249584026623
10014136879,2018-05,84,691,0.12156295224312591
10014136879,2018-06,7,66,0.10606060606060606
10014136879,2018-07,0,80,0.0
10014144432,2018-01,270313,296370,0.9120794952255626
10014144432,2018-02,389821,420008,0.9281275594750577
10014144432,2018-03,208634,228584,0.9127235502047387
10014144432,2018-04,384271,423023,0.9083926878680355
10014144432,2018-05,371295,409046,0.9077096463478436
10014144432,2018-06,243841,269658,0.9042602110821856
10014144432,2018-07,239104,263781,0.9064489102702621
10014144432,2018-08,395365,433233,0.9125920693945291
10014144432,2018-09,298790,322281,0.92711019265796
10014173172,2018-01,62009,197351,0.3142066673085011
10014173172,2018-02,35726,126277,0.2829177126475922
10014173172,2018-03,26470,47734,0.5545313612938367
10014173172,2018-04,29129,57290,0.5084482457671496
10014173172,2018-05,36387,64526,0.5639122214301212
10014173172,2018-06,10314,20047,0.5144909462762508
10014173172,2018-07,7775,22773,0.34141307688929873
10014173172,2018-08,6577,26604,0.24721846338896405
10014173172,2018-09,9432,33851,0.27863283211721956
10014199662,2018-01,1974,30115,0.06554872986883613
10014199662,2018-02,742,7470,0.09933065595716198
10014199662,2018-03,572,4893,0.11690169630083794
10014199662,2018-04,942,7573,0.12438927769708173
10014199662,2018-05,2302,12378,0.1859751171433188
10014199662,2018-06,2636,13302,0.19816568937001955
10014199662,2018-07,3322,13859,0.23969983404286024
10014199662,2018-08,4084,14759,0.27671251439799444
10014199662,2018-09,3734,13901,0.268613768793612
10014202877,2018-01,213,665,0.32030075187969925
10014202877,2018-02,5,14,0.35714285714285715
10014202877,2018-03,1,6,0.16666666666666666
10014202877,2018-05,0,5,0.0
10014202877,2018-06,0,1,0.0
10014214480,2018-05,15,16,0.9375
10014227259,2018-01,42052,105913,0.3970428559289228
10014227259,2018-02,3123,8393,0.37209579411414273
10014227259,2018-03,944,2736,0.34502923976608185
10014227259,2018-04,456,1253,0.363926576217079
10014227259,2018-05,174,710,0.24507042253521127
10014227259,2018-06,97,292,0.3321917808219178
10014227259,2018-07,62,172,0.36046511627906974
10014227259,2018-08,32,91,0.3516483516483517
10014227259,2018-09,18,61,0.29508196721311475
10014323811,2018-01,4481,5184,0.8643904320987654
10014323811,2018-02,1262,1439,0.876997915218902
10014323811,2018-03,569,757,0.7516512549537648
10014323811,2018-04,223,386,0.5777202072538861
10014323811,2018-05,142,236,0.6016949152542372
10014323811,2018-06,72,139,0.5179856115107914
10014323811,2018-07,45,101,0.44554455445544555
10014323811,2018-08,38,65,0.5846153846153846
10014323811,2018-09,38,64,0.59375
10014358888,2018-01,1837,46119,0.03983173963008738
10014358888,2018-02,257,967,0.265770423991727
10014358888,2018-03,35200,93207,0.3776540388597423
10014358888,2018-04,21049,84586,0.24884732698082426
10014358888,2018-05,15809,90731,0.17424033681983006
10014358888,2018-06,2525,48580,0.05197612186084809
10014358888,2018-07,6018,88247,0.06819495280292814
10014358888,2018-08,720,11495,0.0626359286646368
10014485098,2018-01,2743,3334,0.8227354529094181
10014485098,2018-02,1189,1441,0.8251214434420542
10014485098,2018-03,1229,1542,0.7970168612191959
10014485098,2018-04,1002,1378,0.7271407837445574
10014485098,2018-05,711,1102,0.6451905626134301
10014485098,2018-06,575,870,0.6609195402298851
10014485098,2018-07,73,119,0.6134453781512605
10014485098,2018-08,85,109,0.7798165137614679
10014485098,2018-09,174,238,0.7310924369747899
10014499846,2018-05,73,88,0.8295454545454546
10014499846,2018-06,61,77,0.7922077922077922
10014499846,2018-07,30,37,0.8108108108108109
10014499846,2018-08,21,26,0.8076923076923077
10014499846,2018-09,14,16,0.875
10014536627,2018-04,0,1,0.0
10014616858,2018-01,22400,49729,0.45044139234651814
10014616858,2018-02,34962,57242,0.610775304846092
10014616858,2018-03,27602,44437,0.6211490424646128
10014616858,2018-04,20997,32188,0.6523238473965453
10014616858,2018-05,11615,19536,0.594543407043407
10014616858,2018-06,671,3095,0.21680129240710824
10014616858,2018-07,18710,31072,0.6021498455200824
10014616858,2018-08,5564,13299,0.41837732160312807
10014616858,2018-09,3012,9569,0.31476643327411435
10014620129,2018-01,28684,48831,0.5874137330793963
10014620129,2018-02,364,3284,0.11084043848964677
10014620129,2018-03,255,4597,0.0554709593212965
10014620129,2018-04,639,3782,0.16895822316234796
10014620129,2018-05,269,1581,0.17014547754585704
10014620129,2018-06,206,771,0.26718547341115434
10014620129,2018-07,47,589,0.07979626485568761
10014655891,2018-01,1183,37936,0.031184099536060734
10014655891,2018-02,449,5045,0.0889990089197225
10014655891,2018-03,293,2602,0.11260568793235973
10014655891,2018-04,120,1175,0.10212765957446808
10014655891,2018-05,150,731,0.2051983584131327
10014655891,2018-06,107,231,0.46320346320346323
10014655891,2018-07,192,567,0.3386243386243386
10014655891,2018-08,78,223,0.34977578475336324
10014655891,2018-09,1,2,0.5
10014693748,2018-01,1987,2736,0.7262426900584795
10014693748,2018-02,79,146,0.541095890410959
10014693748,2018-03,15,44,0.3409090909090909
10014693748,2018-04,1,27,0.037037037037037035
10014693748,2018-05,5,14,0.35714285714285715
10014693748,2018-06,4,8,0.5
10014693748,2018-07,13,15,0.8666666666666667
10014693748,2018-08,26,29,0.896551724137931
10014693748,2018-09,121,130,0.9307692307692308
10014700926,2018-01,32272,34074,0.9471151024241357
10014700926,2018-02,18155,31022,0.5852298368899491
10014700926,2018-03,30189,55885,0.5401986221705287
10014700926,2018-04,11347,27507,0.4125131784636638
10014700926,2018-05,2360,9177,0.2571646507573281
10014700926,2018-06,2240,9311,0.24057566319407153
10014700926,2018-07,8450,11470,0.7367044463818657
10014700926,2018-08,736,1738,0.4234752589182969
10014700926,2018-09,396,737,0.5373134328358209
10014725051,2018-01,16485,31586,0.5219084404482999
10014725051,2018-02,236,1144,0.2062937062937063
10014725051,2018-03,69,1696,0.04068396226415094
