no_mec,month,IDCARD
10014758227,2018-08,3897
10014758227,2018-09,4516
10014758749,2018-01,863
10014758749,2018-02,1505
10014758749,2018-03,1414
10014758749,2018-04,1875
10014758749,2018-06,874
10014758749,2018-07,1076
10014758749,2018-08,1185
10014758749,2018-09,1906
10014758853,2018-01,22049
10014758853,2018-02,24890
10014758853,2018-03,29014
10014758853,2018-04,41244
10014758853,2018-06,76494
10014758853,2018-07,239350
10014758853,2018-08,295400
10014758853,2018-09,149092
10014787223,2017-09,128
10014787223,2017-10,79
10014787223,2018-01,12
10014787223,2018-02,12
10014789504,2017-09,21486
10014789504,2017-10,35688
10014789504,2018-01,30786
10014789504,2018-02,16533
10014789504,2018-03,7232
10014789504,2018-04,3808
10014793114,2017-09,80510
10014793114,2017-10,96202
10014793114,2018-01,3494
10014793114,2018-02,3505
10014793114,2018-03,995
10014793114,2018-04,1898
10014793114,2018-06,9750
10014793114,2018-07,1839
10014793114,2018-08,968
10014793114,2018-09,1249
10014804668,2017-09,410222
10014804668,2017-10,421776
10014804668,2018-01,36109
10014804668,2018-02,14352
10014804668,2018-03,24266
10014804668,2018-04,40831
10014804668,2018-06,15925
10014804668,2018-07,10058
10014804668,2018-08,2505
10014804708,2017-09,384543
10014804708,2017-10,439542
10014804708,2018-01,5957
10014804708,2018-02,9817
10014804708,2018-03,20408
10014804708,2018-04,13197
10014804708,2018-06,14222
10014804708,2018-07,17315
10014804708,2018-08,6235
10014809503,2017-09,29358
10014809503,2017-10,15110
10014809503,2018-01,67
10014809503,2018-06,1
10014850600,2017-09,171986
10014850600,2017-10,137262
10014850600,2018-01,18083
10014850600,2018-02,6111
10014850600,2018-03,4829
10014850600,2018-04,9860
10014850600,2018-06,10932
10014850600,2018-07,9337
10014850600,2018-08,1181
10014850600,2018-09,1962
10014854591,2018-01,46136
10014854591,2018-02,70514
10014854591,2018-03,69657
10014854591,2018-04,67493
10014854591,2018-06,67070
10014854591,2018-07,47888
10014854591,2018-08,47471
10014854591,2018-09,45752
10014855246,2017-09,1724
10014855246,2017-10,1516
10014855246,2018-01,2121
10014855246,2018-02,199
10014855246,2018-03,356
10014855246,2018-04,3879
10014855246,2018-06,597
10014855246,2018-07,24440
10014855246,2018-08,50261
10014855246,2018-09,123598
10014880928,2017-09,1847
10014880928,2017-10,5244
10014880928,2018-01,7576
10014887496,2018-01,2
10014887496,2018-02,1
10014887496,2018-03,1
10014887496,2018-04,1
10014898623,2017-10,2
10014898623,2018-01,2
10014905156,2017-09,209785
10014905156,2017-10,285825
10014905156,2018-01,288
10014905156,2018-02,46
10014905156,2018-03,35
10014905156,2018-04,28
10014905156,2018-06,24
10014905156,2018-07,12
10014910226,2017-10,1
10014961761,2017-09,30780
10014961761,2017-10,27623
10014961761,2018-01,17988
10014961761,2018-02,12436
10014961761,2018-03,8871
10014961761,2018-04,5747
10014961761,2018-06,1541
10014961761,2018-07,663
10014961761,2018-08,442
10014961761,2018-09,253
10014971429,2017-09,343
10014971429,2017-10,326
10014971429,2018-01,227
10014986483,2018-06,2
10014986483,2018-09,1
10015002061,2017-09,473
10015002061,2017-10,426
10015002061,2018-01,134
10015002061,2018-02,99
10015002061,2018-03,85
10015002061,2018-04,54
10015002061,2018-06,39
10015002061,2018-07,32
10015002061,2018-08,25
10015002061,2018-09,18
10015007777,2017-09,7378
10015007777,2017-10,12927
10015007777,2018-01,1
10015023091,2017-09,5503
10015023091,2017-10,7256
10015042435,2017-09,3
10015042435,2017-10,3
10015071983,2017-09,14725
10015071983,2017-10,80022
10015071983,2018-01,3346
10015071983,2018-02,2790
10015071983,2018-03,800
10015071983,2018-04,434
10015071983,2018-06,9
10015071983,2018-07,6
10015071983,2018-08,5
10015071983,2018-09,8
10015078231,2017-09,2
10015078231,2017-10,4
10015078231,2018-01,3
10015078231,2018-02,3
10015078231,2018-03,42
10015078231,2018-04,34
10015078231,2018-06,204
10015078231,2018-07,206
10015078231,2018-08,208
10015078231,2018-09,193
10015089427,2017-09,2549
10015089427,2017-10,5908
10015089427,2018-01,13418
10015089427,2018-02,21614
10015089427,2018-03,32756
10015089427,2018-04,31514
10015089427,2018-06,17704
10015089427,2018-07,14112
10015089427,2018-08,17925
10015089427,2018-09,16416
10015103354,2017-09,23092
10015103354,2017-10,33956
10015116321,2018-01,2
10015116321,2018-02,4
10015116321,2018-03,1
10015116321,2018-04,3
10015117411,2017-09,1
10015117411,2017-10,7060
10015117411,2018-01,50910
10015117411,2018-02,36477
10015117411,2018-03,17348
10015133531,2018-01,4948
10015133531,2018-02,704
10015133531,2018-03,179
10015133531,2018-04,18
10015139460,2017-09,1
10015139460,2017-10,3
10015139460,2018-01,110765
10015139460,2018-02,316783
10015139460,2018-03,392729
10015139460,2018-04,18160
10015147303,2017-09,929
10015147303,2017-10,1166
10015147303,2018-01,1261
