no_mec,month,IDCARD,amt_1st
10013831924,2018-03,1743,1695.6865109735475
10013831924,2018-04,2337,1919.415038461537
10013831924,2018-06,7196,1568.4885755935359
10013831924,2018-07,4842,2040.963209062819
10013831924,2018-08,5366,1679.7136339918025
10013831924,2018-09,5226,1863.1233199387689
10013885007,2017-09,51,2572.6470588235293
10013885007,2017-10,166,2490.897590361446
10013922543,2017-09,45377,722.2388816517665
10013922543,2017-10,59705,695.9852373417596
10013922543,2018-01,32394,735.7828651396604
10013922543,2018-02,25130,706.0813400858507
10013922543,2018-03,23634,676.4761592127516
10013922543,2018-04,16253,666.9626889061311
10013922543,2018-06,12200,649.2176756214202
10013922543,2018-07,18821,746.4389198872202
10013922543,2018-08,20845,763.9791499975066
10013922543,2018-09,17945,782.7103149647417
10013964842,2017-10,6521,444.2833002746421
10013964842,2018-01,468,461.3215856236785
10013964842,2018-02,2906,956.4873610157852
10013964842,2018-03,390,904.271948717949
10013964842,2018-04,49,371.42795918367347
10013964842,2018-06,48,349.7810416666667
10013964842,2018-07,73,367.34246575342456
10013964842,2018-08,2740,4718.448967391316
10013964842,2018-09,47270,920.8467107451598
10014048472,2017-09,115076,1722.096529372362
10014048472,2017-10,114484,1680.3642988208796
10014048472,2018-01,98819,1507.0990101767518
10014048472,2018-02,95164,1456.5667717112956
10014048472,2018-03,57168,1638.5724200165816
10014048472,2018-04,48986,1629.6218868260949
10014048472,2018-06,42482,1580.3015606575807
10014048472,2018-07,32795,1500.3595323093898
10014048472,2018-08,29662,1459.9342619957076
10014048472,2018-09,28951,1449.032456146338
10014130505,2017-09,70,331.75099999999986
10014130505,2017-10,70,331.75099999999986
10014130505,2018-01,62,329.57967741935465
10014130505,2018-02,54,335.3807407407407
10014136879,2017-09,13854,1697.8916988306744
10014136879,2017-10,18724,1039.8917295182068
10014136879,2018-01,35872,384.71514816037524
10014136879,2018-02,3720,615.2491541353398
10014136879,2018-03,4374,523.818849477035
10014136879,2018-04,4130,390.7739283136862
10014136879,2018-06,234,363.97974468085084
10014136879,2018-07,261,328.36348659003824
10014144432,2017-09,716606,759.4770806667984
10014144432,2017-10,1458766,759.4877459331394
10014144432,2018-01,296011,677.1031168134864
10014144432,2018-02,479915,709.4315695960319
10014144432,2018-03,466277,708.4310595699048
10014144432,2018-04,679682,636.0023878229875
10014144432,2018-06,737968,701.7840797077469
10014144432,2018-07,798604,746.4294393667941
10014144432,2018-08,1155373,779.6943154574063
10014144432,2018-09,1113714,773.6860833702125
10014173172,2017-09,17,2929.6988235294116
10014173172,2017-10,6033,3063.8466796874545
10014173172,2018-01,185279,2342.148983740086
10014173172,2018-02,228267,2464.7518397589774
10014173172,2018-03,165097,2632.349992561529
10014173172,2018-04,191121,2817.1512634244327
10014173172,2018-06,95296,2740.9167338508682
10014173172,2018-07,108573,2426.001011447052
10014173172,2018-08,116829,2303.0749975541935
10014173172,2018-09,162033,2557.8077841175773
10014199662,2017-09,6798,575.7553809944093
10014199662,2017-10,11453,641.1847978695503
10014199662,2018-01,30115,809.5022042171453
10014199662,2018-02,27300,678.2780827838653
10014199662,2018-03,23111,627.6652373328526
10014199662,2018-04,22792,697.2234016321543
10014199662,2018-06,33860,805.9067502436326
10014199662,2018-07,39507,802.5479145467675
10014199662,2018-08,45988,849.4520661462108
10014199662,2018-09,47328,909.8728825878104
10014202877,2017-09,14252,1755.9869406649564
10014202877,2017-10,16999,1732.0921505883298
10014202877,2018-01,665,462.25499248120383
10014202877,2018-02,373,1257.9783914209168
10014202877,2018-03,337,1721.775459940653
